country,install_type,install_type,vertical,vertical,subvertical,subvertical,uninstall_rate
AUS,Non-Organic,非オーガニック,Gaming,ゲーム,Casino,カジノ,65.78%
AUS,Non-Organic,非オーガニック,Gaming,ゲーム,Casual,カジュアル,43.94%
AUS,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,67.56%
AUS,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,58.55%
AUS,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,67.51%
AUS,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,62.42%
AUS,Non-Organic,非オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,53.98%
AUS,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,72.66%
AUS,Non-Organic,非オーガニック,Gaming,ゲーム,Midcore,ミッドコア,65.57%
AUS,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,63.24%
AUS,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Travel,旅行,41.66%
AUS,Organic,オーガニック,Gaming,ゲーム,Casino,カジノ,60.91%
AUS,Organic,オーガニック,Gaming,ゲーム,Casual,カジュアル,34.02%
AUS,Organic,オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,64.67%
AUS,Organic,オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,34.68%
AUS,Organic,オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,32.43%
AUS,Organic,オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,32.60%
AUS,Organic,オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,29.86%
AUS,Organic,オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,53.80%
AUS,Organic,オーガニック,Gaming,ゲーム,Midcore,ミッドコア,58.41%
AUS,Organic,オーガニック,Non-Gaming,非ゲーム,News & Magazines,ニュース・雑誌,19.55%
AUS,Organic,オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,32.23%
AUS,Organic,オーガニック,Non-Gaming,非ゲーム,Travel,旅行,25.58%
BRA,Non-Organic,非オーガニック,Gaming,ゲーム,Casino,カジノ,83.84%
BRA,Non-Organic,非オーガニック,Gaming,ゲーム,Casual,カジュアル,61.86%
BRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,79.98%
BRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,73.12%
BRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,71.13%
BRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,66.23%
BRA,Non-Organic,非オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,72.91%
BRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,60.95%
BRA,Non-Organic,非オーガニック,Gaming,ゲーム,Midcore,ミッドコア,79.43%
BRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,52.68%
BRA,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Travel,旅行,53.41%
BRA,Organic,オーガニック,Gaming,ゲーム,Casino,カジノ,78.45%
BRA,Organic,オーガニック,Gaming,ゲーム,Casual,カジュアル,56.16%
BRA,Organic,オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,61.68%
BRA,Organic,オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,54.77%
BRA,Organic,オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,47.65%
BRA,Organic,オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,45.36%
BRA,Organic,オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,50.58%
BRA,Organic,オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,37.35%
BRA,Organic,オーガニック,Gaming,ゲーム,Midcore,ミッドコア,78.03%
BRA,Organic,オーガニック,Non-Gaming,非ゲーム,Shopping,ショッピング,44.28%
BRA,Organic,オーガニック,Non-Gaming,非ゲーム,Travel,旅行,37.58%
CAN,Non-Organic,非オーガニック,Gaming,ゲーム,Casino,カジノ,64.48%
CAN,Non-Organic,非オーガニック,Gaming,ゲーム,Casual,カジュアル,48.70%
CAN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Dating,マッチング,56.41%
CAN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Entertainment,エンターテインメント,54.65%
CAN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Finance,ファイナンス,68.15%
CAN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Food & Drink,フード＆ドリンク,63.74%
CAN,Non-Organic,非オーガニック,Gaming,ゲーム,Hypercasual,ハイパーカジュアル,56.54%
CAN,Non-Organic,非オーガニック,Non-Gaming,非ゲーム,Lifestyle,ライフスタイル,44.37%
CAN,Non-Organic,非オーガニック,Gaming,ゲーム,Midcore,ミッドコア,69.57%
