country,install_type,install_type,vertical,vertical,subvertical,subvertical,uninstall_rate
AUS,Non-Organic,非自然流量,Gaming,游戏,Casino,赌场,65.78%
AUS,Non-Organic,非自然流量,Gaming,游戏,Casual,休闲,43.94%
AUS,Non-Organic,非自然流量,Non-Gaming,非游戏,Dating,约会,67.56%
AUS,Non-Organic,非自然流量,Non-Gaming,非游戏,Entertainment,娱乐,58.55%
AUS,Non-Organic,非自然流量,Non-Gaming,非游戏,Finance,金融,67.51%
AUS,Non-Organic,非自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,62.42%
AUS,Non-Organic,非自然流量,Gaming,游戏,Hypercasual,超休闲,53.98%
AUS,Non-Organic,非自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,72.66%
AUS,Non-Organic,非自然流量,Gaming,游戏,Midcore,中度游戏,65.57%
AUS,Non-Organic,非自然流量,Non-Gaming,非游戏,Shopping,购物,63.24%
AUS,Non-Organic,非自然流量,Non-Gaming,非游戏,Travel,旅行,41.66%
AUS,Organic,自然流量,Gaming,游戏,Casino,赌场,60.91%
AUS,Organic,自然流量,Gaming,游戏,Casual,休闲,34.02%
AUS,Organic,自然流量,Non-Gaming,非游戏,Dating,约会,64.67%
AUS,Organic,自然流量,Non-Gaming,非游戏,Entertainment,娱乐,34.68%
AUS,Organic,自然流量,Non-Gaming,非游戏,Finance,金融,32.43%
AUS,Organic,自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,32.60%
AUS,Organic,自然流量,Gaming,游戏,Hypercasual,超休闲,29.86%
AUS,Organic,自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,53.80%
AUS,Organic,自然流量,Gaming,游戏,Midcore,中度游戏,58.41%
AUS,Organic,自然流量,Non-Gaming,非游戏,News & Magazines,新闻和杂志,19.55%
AUS,Organic,自然流量,Non-Gaming,非游戏,Shopping,购物,32.23%
AUS,Organic,自然流量,Non-Gaming,非游戏,Travel,旅行,25.58%
BRA,Non-Organic,非自然流量,Gaming,游戏,Casino,赌场,83.84%
BRA,Non-Organic,非自然流量,Gaming,游戏,Casual,休闲,61.86%
BRA,Non-Organic,非自然流量,Non-Gaming,非游戏,Dating,约会,79.98%
BRA,Non-Organic,非自然流量,Non-Gaming,非游戏,Entertainment,娱乐,73.12%
BRA,Non-Organic,非自然流量,Non-Gaming,非游戏,Finance,金融,71.13%
BRA,Non-Organic,非自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,66.23%
BRA,Non-Organic,非自然流量,Gaming,游戏,Hypercasual,超休闲,72.91%
BRA,Non-Organic,非自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,60.95%
BRA,Non-Organic,非自然流量,Gaming,游戏,Midcore,中度游戏,79.43%
BRA,Non-Organic,非自然流量,Non-Gaming,非游戏,Shopping,购物,52.68%
BRA,Non-Organic,非自然流量,Non-Gaming,非游戏,Travel,旅行,53.41%
BRA,Organic,自然流量,Gaming,游戏,Casino,赌场,78.45%
BRA,Organic,自然流量,Gaming,游戏,Casual,休闲,56.16%
BRA,Organic,自然流量,Non-Gaming,非游戏,Dating,约会,61.68%
BRA,Organic,自然流量,Non-Gaming,非游戏,Entertainment,娱乐,54.77%
BRA,Organic,自然流量,Non-Gaming,非游戏,Finance,金融,47.65%
BRA,Organic,自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,45.36%
BRA,Organic,自然流量,Gaming,游戏,Hypercasual,超休闲,50.58%
BRA,Organic,自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,37.35%
BRA,Organic,自然流量,Gaming,游戏,Midcore,中度游戏,78.03%
BRA,Organic,自然流量,Non-Gaming,非游戏,Shopping,购物,44.28%
BRA,Organic,自然流量,Non-Gaming,非游戏,Travel,旅行,37.58%
CAN,Non-Organic,非自然流量,Gaming,游戏,Casino,赌场,64.48%
CAN,Non-Organic,非自然流量,Gaming,游戏,Casual,休闲,48.70%
CAN,Non-Organic,非自然流量,Non-Gaming,非游戏,Dating,约会,56.41%
CAN,Non-Organic,非自然流量,Non-Gaming,非游戏,Entertainment,娱乐,54.65%
CAN,Non-Organic,非自然流量,Non-Gaming,非游戏,Finance,金融,68.15%
CAN,Non-Organic,非自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,63.74%
CAN,Non-Organic,非自然流量,Gaming,游戏,Hypercasual,超休闲,56.54%
CAN,Non-Organic,非自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,44.37%
CAN,Non-Organic,非自然流量,Gaming,游戏,Midcore,中度游戏,69.57%
CAN,Non-Organic,非自然流量,Non-Gaming,非游戏,Shopping,购物,59.61%
CAN,Non-Organic,非自然流量,Non-Gaming,非游戏,Travel,旅行,55.29%
CAN,Organic,自然流量,Gaming,游戏,Casino,赌场,55.47%
CAN,Organic,自然流量,Gaming,游戏,Casual,休闲,38.15%
CAN,Organic,自然流量,Non-Gaming,非游戏,Dating,约会,64.58%
CAN,Organic,自然流量,Non-Gaming,非游戏,Entertainment,娱乐,40.15%
CAN,Organic,自然流量,Non-Gaming,非游戏,Finance,金融,36.07%
CAN,Organic,自然流量,Non-Gaming,非游戏,Food & Drink,食品与饮料,44.94%
CAN,Organic,自然流量,Gaming,游戏,Hypercasual,超休闲,32.02%
CAN,Organic,自然流量,Non-Gaming,非游戏,Lifestyle,生活方式,35.40%
CAN,Organic,自然流量,Gaming,游戏,Midcore,中度游戏,61.01%
