country,install_type,vertical,subvertical,uninstall_rate
AUS,Non-Organic,Gaming,Casino,65.78%
AUS,Non-Organic,Gaming,Casual,43.94%
AUS,Non-Organic,Non-Gaming,Dating,67.56%
AUS,Non-Organic,Non-Gaming,Entertainment,58.55%
AUS,Non-Organic,Non-Gaming,Finance,67.51%
AUS,Non-Organic,Non-Gaming,Food & Drink,62.42%
AUS,Non-Organic,Gaming,Hypercasual,53.98%
AUS,Non-Organic,Non-Gaming,Lifestyle,72.66%
AUS,Non-Organic,Gaming,Midcore,65.57%
AUS,Non-Organic,Non-Gaming,Shopping,63.24%
AUS,Non-Organic,Non-Gaming,Travel,41.66%
AUS,Organic,Gaming,Casino,60.91%
AUS,Organic,Gaming,Casual,34.02%
AUS,Organic,Non-Gaming,Dating,64.67%
AUS,Organic,Non-Gaming,Entertainment,34.68%
AUS,Organic,Non-Gaming,Finance,32.43%
AUS,Organic,Non-Gaming,Food & Drink,32.60%
AUS,Organic,Gaming,Hypercasual,29.86%
AUS,Organic,Non-Gaming,Lifestyle,53.80%
AUS,Organic,Gaming,Midcore,58.41%
AUS,Organic,Non-Gaming,News & Magazines,19.55%
AUS,Organic,Non-Gaming,Shopping,32.23%
AUS,Organic,Non-Gaming,Travel,25.58%
BRA,Non-Organic,Gaming,Casino,83.84%
BRA,Non-Organic,Gaming,Casual,61.86%
BRA,Non-Organic,Non-Gaming,Dating,79.98%
BRA,Non-Organic,Non-Gaming,Entertainment,73.12%
BRA,Non-Organic,Non-Gaming,Finance,71.13%
BRA,Non-Organic,Non-Gaming,Food & Drink,66.23%
BRA,Non-Organic,Gaming,Hypercasual,72.91%
BRA,Non-Organic,Non-Gaming,Lifestyle,60.95%
BRA,Non-Organic,Gaming,Midcore,79.43%
BRA,Non-Organic,Non-Gaming,Shopping,52.68%
BRA,Non-Organic,Non-Gaming,Travel,53.41%
BRA,Organic,Gaming,Casino,78.45%
BRA,Organic,Gaming,Casual,56.16%
BRA,Organic,Non-Gaming,Dating,61.68%
BRA,Organic,Non-Gaming,Entertainment,54.77%
BRA,Organic,Non-Gaming,Finance,47.65%
BRA,Organic,Non-Gaming,Food & Drink,45.36%
BRA,Organic,Gaming,Hypercasual,50.58%
BRA,Organic,Non-Gaming,Lifestyle,37.35%
BRA,Organic,Gaming,Midcore,78.03%
BRA,Organic,Non-Gaming,Shopping,44.28%
BRA,Organic,Non-Gaming,Travel,37.58%
CAN,Non-Organic,Gaming,Casino,64.48%
CAN,Non-Organic,Gaming,Casual,48.70%
CAN,Non-Organic,Non-Gaming,Dating,56.41%
CAN,Non-Organic,Non-Gaming,Entertainment,54.65%
CAN,Non-Organic,Non-Gaming,Finance,68.15%
CAN,Non-Organic,Non-Gaming,Food & Drink,63.74%
CAN,Non-Organic,Gaming,Hypercasual,56.54%
CAN,Non-Organic,Non-Gaming,Lifestyle,44.37%
CAN,Non-Organic,Gaming,Midcore,69.57%
CAN,Non-Organic,Non-Gaming,Shopping,59.61%
CAN,Non-Organic,Non-Gaming,Travel,55.29%
CAN,Organic,Gaming,Casino,55.47%
CAN,Organic,Gaming,Casual,38.15%
CAN,Organic,Non-Gaming,Dating,64.58%
CAN,Organic,Non-Gaming,Entertainment,40.15%
CAN,Organic,Non-Gaming,Finance,36.07%
CAN,Organic,Non-Gaming,Food & Drink,44.94%
CAN,Organic,Gaming,Hypercasual,32.02%
CAN,Organic,Non-Gaming,Lifestyle,35.40%
CAN,Organic,Gaming,Midcore,61.01%
CAN,Organic,Non-Gaming,News & Magazines,17.65%
CAN,Organic,Non-Gaming,Shopping,30.67%
CAN,Organic,Non-Gaming,Travel,27.87%
FRA,Non-Organic,Gaming,Casino,70.54%
FRA,Non-Organic,Gaming,Casual,52.15%
FRA,Non-Organic,Non-Gaming,Dating,62.18%
FRA,Non-Organic,Non-Gaming,Entertainment,51.99%
FRA,Non-Organic,Non-Gaming,Finance,68.76%
FRA,Non-Organic,Non-Gaming,Food & Drink,59.72%
FRA,Non-Organic,Gaming,Hypercasual,60.04%
FRA,Non-Organic,Non-Gaming,Lifestyle,56.62%
FRA,Non-Organic,Gaming,Midcore,72.67%
FRA,Non-Organic,Non-Gaming,Shopping,50.74%
FRA,Non-Organic,Non-Gaming,Travel,39.89%
FRA,Organic,Gaming,Casino,61.59%
FRA,Organic,Gaming,Casual,44.38%
FRA,Organic,Non-Gaming,Dating,55.86%
FRA,Organic,Non-Gaming,Entertainment,38.21%
FRA,Organic,Non-Gaming,Finance,46.96%
FRA,Organic,Non-Gaming,Food & Drink,29.21%
FRA,Organic,Gaming,Hypercasual,35.61%
FRA,Organic,Non-Gaming,Lifestyle,41.62%
FRA,Organic,Gaming,Midcore,67.10%
FRA,Organic,Non-Gaming,News & Magazines,20.02%
FRA,Organic,Non-Gaming,Shopping,29.11%
FRA,Organic,Non-Gaming,Travel,30.81%
DEU,Non-Organic,Gaming,Casino,77.07%
DEU,Non-Organic,Gaming,Casual,53.21%
DEU,Non-Organic,Non-Gaming,Dating,62.02%
DEU,Non-Organic,Non-Gaming,Entertainment,50.29%
DEU,Non-Organic,Non-Gaming,Finance,69.37%
DEU,Non-Organic,Non-Gaming,Food & Drink,52.91%
DEU,Non-Organic,Gaming,Hypercasual,60.95%
DEU,Non-Organic,Non-Gaming,Lifestyle,49.42%
DEU,Non-Organic,Gaming,Midcore,69.55%
DEU,Non-Organic,Non-Gaming,News & Magazines,54.06%
DEU,Non-Organic,Non-Gaming,Shopping,51.49%
DEU,Non-Organic,Non-Gaming,Travel,41.74%
DEU,Organic,Gaming,Casino,61.23%
DEU,Organic,Gaming,Casual,43.81%
DEU,Organic,Non-Gaming,Dating,50.02%
DEU,Organic,Non-Gaming,Entertainment,38.08%
