country,is_payer,vertical,subvertical,inactivity_days,return_rate_percentage,total_users_inactive,returning_users
AUS,non-payer,non-gaming,Dating,1,20.48,6157,1261
BRA,non-payer,non-gaming,Dating,1,13.71,294714,40398
CAN,non-payer,non-gaming,Dating,1,19.23,9683,1862
DEU,non-payer,non-gaming,Dating,1,28,39532,11067
FRA,non-payer,non-gaming,Dating,1,32.32,44238,14297
GBR,non-payer,non-gaming,Dating,1,26.4,16520,4362
IDN,non-payer,non-gaming,Dating,1,21.02,131252,27588
IND,non-payer,non-gaming,Dating,1,23.34,1310719,305916
JPN,non-payer,non-gaming,Dating,1,37.91,114272,43319
KOR,non-payer,non-gaming,Dating,1,35.27,14856,5239
USA,non-payer,non-gaming,Dating,1,31.99,173448,55489
AUS,non-payer,non-gaming,E-Commerce,1,34.84,4945,1723
BRA,non-payer,non-gaming,E-Commerce,1,72.93,360785,263132
CAN,non-payer,non-gaming,E-Commerce,1,6.96,158,11
DEU,non-payer,non-gaming,E-Commerce,1,70.52,99333,70054
FRA,non-payer,non-gaming,E-Commerce,1,77.5,74174,57484
GBR,non-payer,non-gaming,E-Commerce,1,71.69,7001,5019
IDN,non-payer,non-gaming,E-Commerce,1,62,150736,93452
IND,non-payer,non-gaming,E-Commerce,1,36.29,91298,33133
JPN,non-payer,non-gaming,E-Commerce,1,53.28,69102,36821
KOR,non-payer,non-gaming,E-Commerce,1,81.6,430143,350991
USA,non-payer,non-gaming,E-Commerce,1,47.26,51065,24134
AUS,non-payer,non-gaming,Education,1,40.17,239,96
BRA,non-payer,non-gaming,Education,1,26.92,1735,467
CAN,non-payer,non-gaming,Education,1,39.61,558,221
DEU,non-payer,non-gaming,Education,1,26.07,1262,329
FRA,non-payer,non-gaming,Education,1,28.97,1246,361
GBR,non-payer,non-gaming,Education,1,32.46,382,124
IDN,non-payer,non-gaming,Education,1,21.62,6040,1306
IND,non-payer,non-gaming,Education,1,27.11,43914,11905
JPN,non-payer,non-gaming,Education,1,45,6295,2833
KOR,non-payer,non-gaming,Education,1,39.82,25746,10251
USA,non-payer,non-gaming,Education,1,30.45,11970,3645
AUS,non-payer,non-gaming,Entertainment,1,55.46,6691,3711
BRA,non-payer,non-gaming,Entertainment,1,50.51,203096,102582
CAN,non-payer,non-gaming,Entertainment,1,51.82,10678,5533
DEU,non-payer,non-gaming,Entertainment,1,49.15,15728,7730
FRA,non-payer,non-gaming,Entertainment,1,54.05,34481,18637
GBR,non-payer,non-gaming,Entertainment,1,52.92,17316,9163
IDN,non-payer,non-gaming,Entertainment,1,48.67,162476,79072
IND,non-payer,non-gaming,Entertainment,1,24.28,211758,51421
JPN,non-payer,non-gaming,Entertainment,1,57.43,196848,113054
KOR,non-payer,non-gaming,Entertainment,1,30.55,90109,27526
USA,non-payer,non-gaming,Entertainment,1,48.78,237228,115710
AUS,non-payer,non-gaming,Finance (Financial Health & Banking),1,35.67,2058,734
BRA,non-payer,non-gaming,Finance (Financial Health & Banking),1,73.16,403638,295288
CAN,non-payer,non-gaming,Finance (Financial Health & Banking),1,40.07,2508,1005
DEU,non-payer,non-gaming,Finance (Financial Health & Banking),1,49.68,19208,9542
FRA,non-payer,non-gaming,Finance (Financial Health & Banking),1,30.89,11891,3673
GBR,non-payer,non-gaming,Finance (Financial Health & Banking),1,19.17,12470,2391
IDN,non-payer,non-gaming,Finance (Financial Health & Banking),1,20.27,16553,3356
IND,non-payer,non-gaming,Finance (Financial Health & Banking),1,6.9,771179,53194
JPN,non-payer,non-gaming,Finance (Financial Health & Banking),1,72.07,50782,36601
KOR,non-payer,non-gaming,Finance (Financial Health & Banking),1,28.84,33840,9760
USA,non-payer,non-gaming,Finance (Financial Health & Banking),1,58.32,209845,122374
AUS,non-payer,non-gaming,Finance (Trading & Investing),1,49,11256,5516
BRA,non-payer,non-gaming,Finance (Trading & Investing),1,37.45,112709,42208
CAN,non-payer,non-gaming,Finance (Trading & Investing),1,40.19,9640,3874
DEU,non-payer,non-gaming,Finance (Trading & Investing),1,40.53,33673,13646
FRA,non-payer,non-gaming,Finance (Trading & Investing),1,44.38,35981,15970
GBR,non-payer,non-gaming,Finance (Trading & Investing),1,71.31,112056,79909
IDN,non-payer,non-gaming,Finance (Trading & Investing),1,44.68,84189,37617
IND,non-payer,non-gaming,Finance (Trading & Investing),1,54.32,1746851,948889
JPN,non-payer,non-gaming,Finance (Trading & Investing),1,25.31,5586,1414
KOR,non-payer,non-gaming,Finance (Trading & Investing),1,49.48,141487,70002
USA,non-payer,non-gaming,Finance (Trading & Investing),1,45.23,65304,29534
AUS,non-payer,non-gaming,Generative AI,1,31.97,7944,2540
BRA,non-payer,non-gaming,Generative AI,1,20.81,7631,1588
CAN,non-payer,non-gaming,Generative AI,1,32.81,14513,4762
DEU,non-payer,non-gaming,Generative AI,1,34.8,27175,9456
FRA,non-payer,non-gaming,Generative AI,1,44.5,69192,30793
GBR,non-payer,non-gaming,Generative AI,1,35.3,32335,11413
IDN,non-payer,non-gaming,Generative AI,1,22.43,1052,236
IND,non-payer,non-gaming,Generative AI,1,5.9,12467,736
JPN,non-payer,non-gaming,Generative AI,1,15.35,912,140
KOR,non-payer,non-gaming,Generative AI,1,48.74,137383,66964
USA,non-payer,non-gaming,Generative AI,1,34.01,372163,126562
AUS,non-payer,non-gaming,Health & Fitness,1,30.19,3929,1186
BRA,non-payer,non-gaming,Health & Fitness,1,13.83,10592,1465
CAN,non-payer,non-gaming,Health & Fitness,1,30.45,5993,1825
DEU,non-payer,non-gaming,Health & Fitness,1,25.72,41358,10638
FRA,non-payer,non-gaming,Health & Fitness,1,23.85,22775,5431
GBR,non-payer,non-gaming,Health & Fitness,1,27.75,17189,4770
IDN,non-payer,non-gaming,Health & Fitness,1,20.41,83865,17115
IND,non-payer,non-gaming,Health & Fitness,1,16.71,5189,867
JPN,non-payer,non-gaming,Health & Fitness,1,61.67,106236,65515
KOR,non-payer,non-gaming,Health & Fitness,1,47.49,199793,94885
USA,non-payer,non-gaming,Health & Fitness,1,30.7,64386,19768
AUS,non-payer,non-gaming,Loyalty,1,48.98,10381,5085
BRA,non-payer,non-gaming,Loyalty,1,0,52,0
CAN,non-payer,non-gaming,Loyalty,1,48.94,21248,10398
DEU,non-payer,non-gaming,Loyalty,1,39.4,35633,14039
FRA,non-payer,non-gaming,Loyalty,1,36.19,34842,12610
GBR,non-payer,non-gaming,Loyalty,1,47.96,25240,12105
IDN,non-payer,non-gaming,Loyalty,1,27.71,52556,14565
IND,non-payer,non-gaming,Loyalty,1,29.82,242395,72271
JPN,non-payer,non-gaming,Loyalty,1,53.16,35832,19049
KOR,non-payer,non-gaming,Loyalty,1,56.32,25938,14609
USA,non-payer,non-gaming,Loyalty,1,43.17,342403,147816
BRA,non-payer,non-gaming,On-Demand,1,60.2,201899,121543
CAN,non-payer,non-gaming,On-Demand,1,63.84,2757,1760
DEU,non-payer,non-gaming,On-Demand,1,55.58,34783,19333
FRA,non-payer,non-gaming,On-Demand,1,43.77,1188,520
GBR,non-payer,non-gaming,On-Demand,1,31.35,2775,870
IDN,non-payer,non-gaming,On-Demand,1,69.18,88828,61450
IND,non-payer,non-gaming,On-Demand,1,35.76,1820291,651009
JPN,non-payer,non-gaming,On-Demand,1,71.86,9102,6541
KOR,non-payer,non-gaming,On-Demand,1,60.44,64836,39189
USA,non-payer,non-gaming,On-Demand,1,20.47,43534,8911
AUS,non-payer,non-gaming,Other Consumer,1,44.04,10064,4432
BRA,non-payer,non-gaming,Other Consumer,1,31.57,49471,15618
CAN,non-payer,non-gaming,Other Consumer,1,43.98,10861,4777
DEU,non-payer,non-gaming,Other Consumer,1,57.8,63845,36904
FRA,non-payer,non-gaming,Other Consumer,1,51.05,66940,34174
GBR,non-payer,non-gaming,Other Consumer,1,56.9,39401,22419
IDN,non-payer,non-gaming,Other Consumer,1,26.1,13773,3595
IND,non-payer,non-gaming,Other Consumer,1,18.43,917071,169020
JPN,non-payer,non-gaming,Other Consumer,1,61.22,99128,60687
KOR,non-payer,non-gaming,Other Consumer,1,45.46,99241,45115
USA,non-payer,non-gaming,Other Consumer,1,53.09,260269,138179
BRA,non-payer,non-gaming,RMG,1,8.8,1454,128
CAN,non-payer,non-gaming,RMG,1,38.69,1685,652
DEU,non-payer,non-gaming,RMG,1,45.96,5022,2308
FRA,non-payer,non-gaming,RMG,1,67.89,7480,5078
GBR,non-payer,non-gaming,RMG,1,43.28,25672,11111
IDN,non-payer,non-gaming,RMG,1,10.88,2225,242
IND,non-payer,non-gaming,RMG,1,28.75,611255,175750
JPN,non-payer,non-gaming,RMG,1,34.32,8115,2785
KOR,non-payer,non-gaming,RMG,1,17.25,29531,5093
USA,non-payer,non-gaming,RMG,1,49.16,145775,71668
AUS,non-payer,non-gaming,Social,1,33.91,10947,3712
BRA,non-payer,non-gaming,Social,1,24.79,162551,40296
