country,category,category,vertical,vertical
AUS,non-gaming,非游戏,Dating,约会
AUS,non-gaming,非游戏,Entertainment,娱乐
AUS,non-gaming,非游戏,Generative AI,生成式 AI
AUS,non-gaming,非游戏,Loyalty,忠诚度
AUS,non-gaming,非游戏,Social,社交
AUS,non-gaming,非游戏,Utility & Productivity,工具与生产力
BRA,non-gaming,非游戏,Dating,约会
BRA,non-gaming,非游戏,E-Commerce,电子商务
BRA,non-gaming,非游戏,Entertainment,娱乐
BRA,non-gaming,非游戏,On-Demand,即时需求服务
BRA,non-gaming,非游戏,Social,社交
BRA,non-gaming,非游戏,Utility & Productivity,工具与生产力
CAN,non-gaming,非游戏,Dating,约会
CAN,non-gaming,非游戏,Finance (Trading & Investing),金融（交易与投资）
CAN,non-gaming,非游戏,Loyalty,忠诚度
CAN,non-gaming,非游戏,Social,社交
CAN,non-gaming,非游戏,Utility & Productivity,工具与生产力
DEU,non-gaming,非游戏,Dating,约会
DEU,non-gaming,非游戏,Finance (Trading & Investing),金融（交易与投资）
DEU,non-gaming,非游戏,Generative AI,生成式 AI
DEU,non-gaming,非游戏,Loyalty,忠诚度
DEU,non-gaming,非游戏,On-Demand,即时需求服务
DEU,non-gaming,非游戏,Social,社交
DEU,non-gaming,非游戏,Travel,旅行
DEU,non-gaming,非游戏,Utility & Productivity,工具与生产力
FRA,non-gaming,非游戏,E-Commerce,电子商务
FRA,non-gaming,非游戏,Entertainment,娱乐
FRA,non-gaming,非游戏,Generative AI,生成式 AI
FRA,non-gaming,非游戏,Loyalty,忠诚度
FRA,non-gaming,非游戏,Social,社交
FRA,non-gaming,非游戏,Utility & Productivity,工具与生产力
GBR,non-gaming,非游戏,Dating,约会
GBR,non-gaming,非游戏,Finance (Financial Health & Banking),金融（金融健康与银行）
GBR,non-gaming,非游戏,Generative AI,生成式 AI
GBR,non-gaming,非游戏,Loyalty,忠诚度
GBR,non-gaming,非游戏,On-Demand,即时需求服务
IDN,non-gaming,非游戏,Dating,约会
IDN,non-gaming,非游戏,Education,教育
IDN,non-gaming,非游戏,Entertainment,娱乐
