app_number,app_number,app_and_country,app_and_country,app_type_and_country,app_type_and_country,country,cpa_improvement,roas_ratio,cpa delta,roas delta
App 1, アプリ1,App 1 (India), アプリ1 (インド),Financial Trading & Investing (India),金融トレーディング・投資 (インド),IND,4.744966713,5.73,-96.27%,5212.77%
App 2, アプリ2,App 2 (Germany), アプリ2 (ドイツ),Financial Trading & Investing (Germany),金融トレーディング・投資 (ドイツ),DEU,3.611006152,,-91.82%,
App 3, アプリ3,App 3 (USA), アプリ3 (アメリカ),Entertainment (USA),エンターテインメント (アメリカ),USA,2.222392421,,-78.57%,
App 4, アプリ4,App 4 (India), アプリ4 (インド),Gaming (India),ゲーム (インド),IND,2.210096701,2.92,-78.39%,658.23%
App 5, アプリ5,App 22 (Argentina), アプリ5 (アルゼンチン),Financial Trading & Investing (Argentina),金融トレーディング・投資 (アルゼンチン),ARG,2.076544593,0.56,-76.29%,47.78%
App 6, アプリ6,App 23 (Mexico), アプリ6 (メキシコ),Gaming (Mexico),ゲーム (メキシコ),MEX,1.999923991,3.23,-75.00%,837.59%
App 7, アプリ7,App 5 (India), アプリ7 (インド),On-Demand Delivery #1 (India),オンデマンドデリバリー#1 (インド),IND,1.940128544,1.97,-73.94%,290.84%
App 8, アプリ8,App 6 (USA), アプリ8 (アメリカ),Books & Reference (USA),書籍・参考書 (アメリカ),USA,1.696385407,2.62,-69.14%,515.36%
App 9, アプリ9,App 7 (USA), アプリ9 (アメリカ),On-Demand Delivery (USA),オンデマンドデリバリー (アメリカ),USA,1.387982933,2.91,-61.79%,653.97%
App 10, アプリ10,App 8 (India), アプリ10 (インド),On-Demand Delivery #2 (India),オンデマンドデリバリー#2 (インド),IND,1.270451877,3.79,-58.55%,1280.91%
App 11, アプリ11,App 9 (USA), アプリ11 (アメリカ),Social Media (USA),SNS (アメリカ),USA,0.9600415482,,-48.60%,
App 12, アプリ12,App 10 (UK), アプリ12 (イギリス),Financial Trading & Investing (USA),金融トレーディング・投資 (アメリカ),GBR,0.8912589477,,-46.09%,
App 13, アプリ13,App 24 (Turkey, アプリ13 (トルコ),Gaming (Turkey),ゲーム (トルコ),TUR,0.6451254491,1.49,-36.06%,179.97%
App 14, アプリ14,App 11 (USA), アプリ14 (アメリカ),Gaming (USA),ゲーム (アメリカ),USA,0.3482301701,3.09,-21.45%,749.48%
App 15, アプリ15,App 12 (India), アプリ15 (インド),Financial Trading & Investing (India),金融トレーディング・投資 (インド),IND,0.2408295677,0.71,-15.37%,63.36%
App 16, アプリ16,App 13 (India), アプリ16 (インド),Entertainment (India),エンターテインメント (インド),IND,0.1638248019,0.25,-10.73%,19.06%
App 17, アプリ17,App 14 (USA), アプリ17 (アメリカ),Financial Mobile Banking (USA),モバイルバンキング (アメリカ),USA,-0.09474288294,-0.20,6.79%,-13.14%
App 18, アプリ18,App 15 (USA), アプリ18 (アメリカ),Gaming (USA),ゲーム (アメリカ),USA,-0.294112717,1.36,22.61%,156.19%
App 19, アプリ19,App 16 (India), アプリ19 (インド),Financial Trading & Investing (India),金融トレーディング・投資 (インド),IND,-0.4856004471,1.62,40.02%,206.67%
App 20, アプリ20,App 17 (USA), アプリ20 (アメリカ),Sportsbetting (USA),スポーツベッティング (アメリカ),USA,-0.5279491573,,44.19%,
App 21, アプリ21,App 18 (India), アプリ21 (インド),Other Consumer (IND),その他消費者アプリ (インド),IND,-0.6414194824,1.67,55.99%,219.17%
App 22, アプリ22,App 19 (USA), アプリ22 (アメリカ),Financial Health & Banking (USA),保険・銀行 (アメリカ),USA,-0.687212559,,61.02%,
App 23, アプリ23,App 20 (USA), アプリ23 (アメリカ),Gaming (USA),ゲーム (アメリカ),USA,-1.468450014,-0.54,176.72%,-31.22%
App 24, アプリ24,App 25 (Vietnam), アプリ24 (ベトナム),On-Demand (Vietnam),オンデマンド (ベトナム),VNM,-2.04019004,2.99,311.30%,692.94%
App 25, アプリ25,App 21 (India), アプリ25 (インド),Financial Trading & Investing (India),金融トレーディング・投資 (インド),IND,-3.778208576,0.33,1272.00%,25.37%
